序列,单词,词义
11265,determining,v. 决定（determine的ing形式）
11326,pitfall,n. 缺陷；陷阱，圈套；诱惑
11335,mommy,n. 妈咪
11345,spearhead,
11349,fair,adj. 公平的；美丽的，白皙的；晴朗的
11358,threatening,adj. 胁迫的；危险的；凶兆的
11359,intrigue,n. 阴谋；诡计；复杂的事；私通
11407,garner,vt. 储存；获得；把…储入谷仓
11488,mentor,n. 指导者，良师益友
11497,ethos,n. 气质；民族精神；社会思潮
11506,profitability,n. 赢利能力；利益率；收益性
11532,gossip,n. 小道传闻；随笔；爱说长道短的人
11579,concerted,adj. 协定的；商议定的；协调的
11591,deduct,vt. 扣除，减去；演绎
11598,vice,n. 缺点；恶习；老虎钳；卖淫
11617,creepy,adj. 令人毛骨悚然的；爬行的
11621,taboo,n. 禁忌；禁止
11635,adversity,n. 逆境；不幸；灾祸；灾难
11662,assertive,adj. 肯定的；独断的；坚定而自信的
11684,campsite,n. 营地
11685,depressive,
11700,consent,vi. 同意；答应；赞成
11757,blank,adj. 空白的；空虚的；单调的
11773,drone,n. 雄蜂；嗡嗡的声音；懒惰者
11798,manufactured,adj. 制造的，已制成的
11848,contagious,adj. 会蔓延的；感染性的
11850,constant,adj. 不变的；恒定的；经常的
11861,exploit,vt. 开发，开拓；剥削；开采
11862,sporadic,adj. 零星的；分散的；不定时发生的
11882,budget,n. 预算，预算费
11897,sabotage,vt. 妨害；对…采取破坏行动
11924,charisma,n. 神授的能力；非凡的领导力；魅力
11963,depot,n. 仓库；航空站；停车场
12013,inadequacy,n. 不适当，不充分；不完全；不十分
12071,utmost,n. 极限；最大可能
12090,situational,adj. 环境形成的；情形的
12150,discretionary,adj. 任意的；自由决定的
12254,uphill,adj. 上坡的，向上的
12300,gauge,n. 计量器；标准尺寸；容量规格
12308,bait,vt. 引诱；在…中放诱饵；折磨
12376,seamless,adj. 无缝合线的；无缝的；无伤痕的
12398,rapport,n. 密切关系，交往；和谐一致
12466,onward,adj. 向前的；前进的
12496,state-owned,
12504,gross,adj. 总共的；粗野的；恶劣的；显而易见的
12507,stagnant,adj. 停滞的；污浊的；不景气的；迟钝的
12528,exude,vt. 使渗出；流出；散发
12609,camaraderie,n. 友情；同志之爱
12621,agrarian,adj. 土地的；耕地的；有关土地的
12663,prime,adj. 基本的；最好的；主要的
12673,iconic,
12768,virtuous,adj. 有道德的；贞洁的；善良的；有效力的；正直的
12899,thumb,vt. 以拇指拨弄；作搭车手势；笨拙地摆弄；翻阅
13000,loathe,vt. 讨厌，厌恶
13045,start-up,
13117,whopping,
13222,adorable,adj. 可爱的；可敬重的，值得崇拜的
13299,major,adj. 主要的；主修的；重要的；较多的
13402,uphill,adj. 上坡的，向上的
13414,dissemination,
13418,assigned,adj. 已分配的；指定的
13519,malicious,adj. 恶毒的；恶意的；蓄意的；怀恨的
13523,astute,adj. 机敏的；狡猾的，诡计多端的
13617,stand-up,
13663,savvy,n. 悟性；理解能力
13711,evolving,adj. 展开的；进化的
13729,lull,vt. 使安静；使平静；哄骗
13814,grit,vt. 研磨；在…上铺砂砾
13835,discreetly,
13871,prioritize,
13877,binding,n. 捆绑；装订；粘合物
13918,endeavor,n. 努力；尽力（等于endeavour）
13993,pre-existing,
14039,populous,adj. 人口稠密的；人口多的
14121,brownie,n. 巧克力蛋糕，核仁巧克力饼；棕仙（传说中夜间帮助做家务的小精灵）
14172,reciprocity,n. 相互性；互惠主义；相互作用（复数reciprocities）
14213,limelight,n. 石灰光，石灰光灯；众人注目的中心
14271,disengage,vt. 使脱离；解开；解除
14294,implement,vt. 实现，使生效；实施，执行
14316,emergent,adj. 紧急的；浮现的；自然发生的；意外的
14351,intangible,adj. 无形的，触摸不到的；难以理解的
14362,rung,n. 横档，脚蹬横木；地位
14409,unparalleled,
14447,manipulative,adj. 巧妙处理的；操纵的，用手控制的
14507,loyalist,n. 忠诚的人；反对独立者
14516,self-sufficiency,
14522,susceptibility,n. 感情；敏感性；磁化系数
14655,agile,adj. 敏捷的；机敏的；活泼的
14673,vacuum,n. 真空；真空吸尘器；空间
14707,entrepreneurship,
14716,fair,adj. 公平的；美丽的，白皙的；晴朗的
14814,expert,adj. 熟练的；内行的；老练的
14838,denominator,
14937,bushel,n. 蒲式耳
14977,instinctive,adj. 本能的；直觉的；天生的
14991,complacent,adj. 自满的；满足的；得意的
15025,meld,vi. 合并；混合
15056,readership,n. 读者们；读者人数；读者的身分
15104,taboo,n. 禁忌；禁止
15147,tenacity,n. 固执；韧性；不屈不挠；黏性
15228,sweeten,vt. 减轻；使变甜；使温和；使悦耳
15267,discord,n. 不和；不调和；嘈杂声
15279,conceptually,adv. 概念地
15304,agility,n. 敏捷；灵活；机敏
15334,undeniably,adv. 确凿无疑地；不可否认地
15340,trailhead,
15356,landscape,n. 风景，景色；山水画
15367,entry-level,
15372,courteous,adj. 谦恭的；有礼貌的
15385,infringe,vt. 侵犯；违反；破坏
15390,single-handedly,
15412,cross-border,
15417,screaming,adj. 尖叫的；使人惊叹的；使人捧腹大笑的
15442,intuitively,adv. 直观地；直觉地
15504,resolute,adj. 坚决的；果断的
15602,diversified,adj. 多样化的；各种的
15625,annual,adj. 年度的；每年的
15683,cluttered,
15696,obsess,vt. 迷住，缠住；使…着迷；使…困扰
15784,prey,vi. 捕食；掠夺；折磨
15876,huddle,vt. 把...挤在一起；使缩成一团；草率了事
16034,flourishing,
16079,drone,n. 雄蜂；嗡嗡的声音；懒惰者
16170,sabotage,vt. 妨害；对…采取破坏行动
16219,queue,n. 队列；长队；辫子
16317,stacked,adj. [俚]妖艳的；（女人）身材丰满匀称的
16364,private-sector,
16379,epitome,n. 缩影；摘要；象征
16464,handicap,n. 障碍；不利条件，不利的因素
16470,insurmountable,
16518,liquidity,n. 流动性；流动资产；偿债能力
16572,boast,vt. 以有…而自豪；夸口说，自吹自擂说
16587,toll,vt. 征收；敲钟
16600,capital,n. 首都，省会；大写字母；资金；资本家
16657,autocratic,adj. 专制的；独裁的，专横的
16669,lenient,adj. 仁慈的；宽大的
16768,dictate,vt. 命令；口述；使听写
16841,nutshell,n. 坚果的外壳；小的东西，小容器
16870,lull,vt. 使安静；使平静；哄骗
16885,ministerial,adj. 部长的；内阁的；公使的；牧师的
17010,screaming,adj. 尖叫的；使人惊叹的；使人捧腹大笑的
17191,frugal,adj. 节俭的；朴素的；花钱少的
17249,cupcake,n. 纸托蛋糕；杯形蛋糕
17268,abstract,n. 抽象；摘要；抽象的概念
17308,fruition,n. 完成，成就；结果实
17417,script,n. 手迹；脚本；书写用的字母
17607,marginalized,
17616,moat,n. 护城河；壕沟
17827,spite,n. 恶意；怨恨；不顾
17885,spotlight,n. 聚光灯；反光灯；公众注意的中心
17893,gregarious,adj. 群居的；社交的
17924,fortitude,
17944,organically,
17966,awkwardness,
18063,tunnel,n. 隧道；坑道；洞穴通道
18156,monopolize,vt. 垄断；独占；拥有…的专卖权
18260,tact,n. 机智；老练；圆滑；鉴赏力
18427,bawl,vi. 大叫；放声痛哭
18477,plain,adj. 平的；朴素的；简单的；清晰的
18510,chipped,
18569,exponential,adj. 指数的
18593,insular,adj. 孤立的；岛民的；海岛的；与世隔绝的
18625,sought-after,
18669,pathos,n. 悲怅；痛苦；同情；哀婉动人的词句
18826,blank,adj. 空白的；空虚的；单调的
19024,unresponsive,adj. 无反应的；反应迟钝的
19288,impressively,adv. 令人难忘地；感人地
19331,rooted,adj. 根深蒂固的；生根的
19365,hotshot,
19503,stand-up,
19510,chomp,vi. 格格地咬牙，咬响牙齿；切齿
19615,fatigue,n. 疲劳，疲乏；杂役
19648,subsidiary,adj. 辅助的；附属的
19683,cognizant,adj. 审理的；已认知的
19730,nurture,vt. 养育；鼓励；培植
19776,stunt,n. 绝技；噱头，手腕
19790,pushy,adj. 有进取心的；爱出风头的；有冲劲的；固执己见的
19915,laissez-faire,
19979,abstract,n. 抽象；摘要；抽象的概念
20007,framing,n. 取景；[计]组帧；设计；框架
20017,comatose,
20046,showcase,n. 陈列橱，陈列柜；显示优点的东西
20072,subject,n. 主题；科目；国民；主语
